Creatinine	3.0373	3.03894	3.01789
Hippuric_acid	3.9684	3.97375	3.90469
Citric_acid	2.49125	2.48632	2.54903
Glycine	3.55336	3.5579	3.49951
TMAO	3.27233	3.27521	3.23799
Histidine	7.06971	7.07263	7.03463
phenylacetylglutamine	7.36774	7.37237	7.31179
Taurine	3.41134	3.42008	3.30682
glycolic_acid	3.93739	3.938	3.93015
Formate	8.44784	8.44645	8.46442
Glutamine	2.35024	2.35791	2.25904
Lactate	1.32813	1.33041	1.30061
lysine	3.0053	2.99948	3.07473
cis-aconitic_acid	3.44134	3.43486	3.51897
L_Tyrosine	6.82068	6.81461	6.89288
Creatine	3.0313	3.03469	2.9909
Dimethylamine	2.70927	2.70848	2.71885
guanidoacetic_acid	3.79538	3.7969	3.77739
p-cresol_sulfate	2.34623	2.34782	2.32724
L-alanine	1.47115	1.47366	1.44079
Arabitol	3.63336	3.63313	3.63618
Isocitrate	3.9734	3.97025	4.01101
Betaine	3.26233	3.25297	3.37391
N-methylnicotinic_acid	4.44244	4.43312	4.55342
acetate	1.92219	1.9195	1.9546
succinic_acid	2.40824	2.40516	2.44517
Threonic_acid	4.0114	4.02272	3.87699
Trimethylamine	2.86729	2.87462	2.77855
p-Hydroxyphenylacetic acid	3.39234	3.38474	3.48275
beta-D-fructose	3.80638	3.80221	3.85636
Dimethylglycine	2.91729	2.92274	2.85263
NMND	4.48345	4.48734	4.43721
2-oxoglutarate	2.43024	2.43041	2.42824
Galactose	3.76638	3.7686	3.74026
Phenylacetate	3.52435	3.52468	3.52049
L-carnosine	7.0117	7.01667	6.95119
leucine	0.948095	0.948379	0.94472
Malic_acid	2.66527	2.66846	2.6267
2_hydroxybutyrate	0.90209	0.907218	0.841016
Methionine	2.14321	2.14654	2.10383
Isoleucine	1.0061	1.01176	0.939766
L-Glutamic_acid	2.34123	2.34908	2.24768
citrulline	3.75738	3.76041	3.72086
2_deoxycytidine	6.05961	6.05473	6.11754
N-Acetyl-L-aspartic_acid	2.0232	2.02513	2.00026
2_deoxyadenosine	8.31483	8.31068	8.36394
n-butyrate	0.889089	0.886143	0.924226
L-serine	3.9734	3.9785	3.9127
